date,governorate,n_infected,n_recovered,n_dead
"20:44, 25 April 2020",Tataouine,32,TBA,1
"21:40, 24 April 2020",Béja,3,TBA,0
"21:40, 24 April 2020",Zaghouan,3,TBA,0
"06:27, 25 April 2020",Béja,3,TBA,0
"06:27, 25 April 2020",Zaghouan,3,TBA,0
"06:27, 25 April 2020",Siliana,2,TBA,0
"20:44, 25 April 2020",Gabès,22,TBA,0
"20:44, 25 April 2020",Bizerte,19,TBA,1
"20:44, 25 April 2020",Mahdia,15,TBA,1
"21:40, 24 April 2020",Jendouba,1,TBA,0
"21:40, 24 April 2020",Siliana,1,TBA,0
"06:27, 25 April 2020",Jendouba,1,TBA,0
"20:44, 25 April 2020",Nabeul,12,TBA,1
"20:44, 25 April 2020",Kairouan,6,TBA,0
"20:44, 25 April 2020",Kasserine,6,TBA,0
"20:44, 25 April 2020",Le Kef,5,TBA,1
"20:44, 25 April 2020",Sidi Bouzid,5,TBA,1
"20:44, 25 April 2020",Tozeur,5,TBA,0
"20:44, 25 April 2020",Béja,3,TBA,0
"20:44, 25 April 2020",Zaghouan,3,TBA,0
"20:44, 25 April 2020",Siliana,2,TBA,0
"20:44, 25 April 2020",Jendouba,1,TBA,0
"15:21, 26 March 2020",Tunis,48,0,0
"15:21, 26 March 2020",Ariana,31,0,1
"15:21, 26 March 2020",Ben Arous,17,0,0
"15:21, 26 March 2020",Manouba,3,0,0
"15:21, 26 March 2020",Bizerte,4,0,0
"15:21, 26 March 2020",Mahdia,3,0,1
"15:21, 26 March 2020",Monastir,13,0,0
"15:21, 26 March 2020",Médenine,12,0,0
"15:21, 26 March 2020",Nabeul,2,0,0
"15:21, 26 March 2020",Sousse,13,0,1
"15:21, 26 March 2020",Sfax,7,0,1
"15:21, 26 March 2020",Gafsa,1,1,0
"15:21, 26 March 2020",Kairouan,2,0,0
"15:21, 26 March 2020",Tataouine,6,0,0
"15:21, 26 March 2020",Gabès,4,0,0
"15:21, 26 March 2020",Kébili,5,0,0
"15:21, 26 March 2020",Kef,1,0,1
"15:21, 26 March 2020",Kasserine,5,0,0
"15:21, 26 March 2020",Zaghouan,2,0,0
"15:22, 26 March 2020",Tunis,48,0,0
"15:22, 26 March 2020",Ariana,31,0,1
"15:22, 26 March 2020",Ben Arous,17,0,0
"15:22, 26 March 2020",Manouba,3,0,0
"18:03, 26 March 2020",Tunis,48,0,0
"15:22, 26 March 2020",Bizerte,4,0,0
"15:22, 26 March 2020",Mahdia,3,0,1
"18:03, 26 March 2020",Ariana,31,0,1
"18:03, 26 March 2020",Ben Arous,17,0,0
"18:03, 26 March 2020",Manouba,3,0,0
"15:22, 26 March 2020",Monastir,13,0,0
"15:22, 26 March 2020",Médenine,12,0,0
"15:22, 26 March 2020",Nabeul,2,0,0
"18:03, 26 March 2020",Bizerte,4,0,0
"18:03, 26 March 2020",Mahdia,3,0,1
"18:03, 26 March 2020",Monastir,13,0,0
"15:22, 26 March 2020",Sousse,13,0,1
"15:22, 26 March 2020",Sfax,7,0,1
"15:22, 26 March 2020",Gafsa,1,1,0
"18:03, 26 March 2020",Médenine,12,0,0
"18:03, 26 March 2020",Nabeul,2,0,0
"18:03, 26 March 2020",Sousse,13,0,1
"15:22, 26 March 2020",Kairouan,2,0,0
"15:22, 26 March 2020",Tataouine,6,0,0
"18:03, 26 March 2020",Sfax,7,0,1
"18:03, 26 March 2020",Gafsa,1,1,0
"15:22, 26 March 2020",Gabès,4,0,0
"15:22, 26 March 2020",Kébili,5,0,0
"15:22, 26 March 2020",Kef,1,0,1
"18:03, 26 March 2020",Kairouan,2,0,0
"18:03, 26 March 2020",Tataouine,6,0,0
"15:22, 26 March 2020",Kasserine,5,0,0
"15:22, 26 March 2020",Zaghouan,2,0,0
"18:03, 26 March 2020",Gabès,4,0,0
"18:03, 26 March 2020",Kébili,5,0,0
"18:03, 26 March 2020",Kef,1,0,1
"18:03, 26 March 2020",Kasserine,5,0,0
"18:03, 26 March 2020",Zaghouan,2,0,0
"19:08, 26 March 2020",Tunis,48,0,0
"19:08, 26 March 2020",Ariana,31,0,1
"19:08, 26 March 2020",Ben Arous,17,0,0
"21:11, 26 March 2020",Tunis,48,0,0
"19:08, 26 March 2020",Manouba,3,0,0
"19:08, 26 March 2020",Bizerte,4,0,0
"19:08, 26 March 2020",Mahdia,3,0,1
"21:11, 26 March 2020",Ariana,31,0,1
"21:11, 26 March 2020",Ben Arous,17,0,0
"21:11, 26 March 2020",Manouba,3,0,0
"19:08, 26 March 2020",Monastir,13,0,0
"19:08, 26 March 2020",Médenine,12,0,0
"19:08, 26 March 2020",Nabeul,2,0,0
"21:11, 26 March 2020",Bizerte,4,0,0
"21:11, 26 March 2020",Mahdia,3,0,1
"19:08, 26 March 2020",Sousse,13,0,1
"19:08, 26 March 2020",Sfax,7,0,1
"19:08, 26 March 2020",Gafsa,1,1,0
"21:11, 26 March 2020",Monastir,13,0,0
"21:11, 26 March 2020",Médenine,12,0,0
"19:08, 26 March 2020",Kairouan,2,0,0
"19:08, 26 March 2020",Tataouine,6,0,0
"19:08, 26 March 2020",Gabès,4,0,0
"09:49, 27 March 2020",Tunis,48,0,0
"21:11, 26 March 2020",Nabeul,2,0,0
"21:11, 26 March 2020",Sousse,13,0,1
